"Erstellungsdatum";"05.12.2016";
"Name";"umlagentyp";"Erstattungssatz";"01.01.2009";"01.02.2009";"01.03.2009";"01.04.2009";"01.05.2009";"01.06.2009";"01.07.2009";"01.08.2009";"01.09.2009";"01.10.2009";"01.11.2009";"01.12.2009";"01.01.2010";"01.02.2010";"01.03.2010";"01.04.2010";"01.05.2010";"01.06.2010";"01.07.2010";"01.08.2010";"01.09.2010";"01.10.2010";"01.11.2010";"01.12.2010";"01.01.2011";"01.02.2011";"01.03.2011";"01.04.2011";"01.05.2011";"01.06.2011";"01.07.2011";"01.08.2011";"01.09.2011";"01.10.2011";"01.11.2011";"01.12.2011";"01.01.2012";"01.02.2012";"01.03.2012";"01.04.2012";"01.05.2012";"01.06.2012";"01.07.2012";"01.08.2012";"01.09.2012";"01.10.2012";"01.11.2012";"01.12.2012";"01.01.2013";"01.02.2013";"01.03.2013";"01.04.2013";"01.05.2013";"01.06.2013";"01.07.2013";"01.08.2013";"01.09.2013";"01.10.2013";"01.11.2013";"01.12.2013";"01.01.2014";"01.02.2014";"01.03.2014";"01.04.2014";"01.05.2014";"01.06.2014";"01.07.2014";"01.08.2014";"01.09.2014";"01.10.2014";"01.11.2014";"01.12.2014";"01.01.2015";"01.02.2015";"01.03.2015";"01.04.2015";"01.05.2015";"01.06.2015";"01.07.2015";"01.08.2015";"01.09.2015";"01.10.2015";"01.11.2015";"01.12.2015";"01.01.2016";"01.02.2016";"01.03.2016";"01.04.2016";"01.05.2016";"01.06.2016";"01.07.2016";"01.08.2016";"01.09.2016";"01.10.2016";"01.11.2016";"01.12.2016";
"AOK Nordost MV";"u1";"40,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"AOK Nordost MV";"u1";"50,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";
"AOK Nordost MV";"u1";"70,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"";"";"";"";"";"";"";"";"";"";"";"";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";
"AOK Nordost MV";"u1";"80,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"AOK Nordost MV";"u2";"100,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,59";"0,59";
"AOK Nordost BB";"u1";"40,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,40";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"1,30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"AOK Nordost BB";"u1";"50,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"1,60";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";"1,80";
"AOK Nordost BB";"u1";"70,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"2,00";"";"";"";"";"";"";"";"";"";"";"";"";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";
"AOK Nordost BB";"u1";"80,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"2,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"AOK Nordost BB";"u2";"100,00%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,45";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,50";"0,59";"0,59";
